strain_id,strain,timepoint,tissue,replicate,log10_tcid50_per_ml
22,A/chicken/Shandong/M0515-1/2017,3 days,nasal,2,4.5
22,A/chicken/Shandong/M0515-1/2017,5 days,lung,1,3.5
22,A/chicken/Shandong/M0515-1/2017,5 days,lung,2,3.5
22,A/chicken/Shandong/M0515-1/2017,5 days,lung,3,4.25
22,A/chicken/Shandong/M0515-1/2017,5 days,nasal,1,3.25
22,A/chicken/Shandong/M0515-1/2017,5 days,nasal,2,2.75
22,A/chicken/Shandong/M0515-1/2017,5 days,nasal,3,3.75
23,A/Chicken/Shandong/F122402/2021,3 days,lung,1,3.25
23,A/Chicken/Shandong/F122402/2021,3 days,lung,2,2.5
23,A/Chicken/Shandong/F122402/2021,3 days,nasal,1,3.25
23,A/Chicken/Shandong/F122402/2021,3 days,nasal,2,3.25
23,A/Chicken/Shandong/F122402/2021,5 days,lung,1,0.75
23,A/Chicken/Shandong/F122402/2021,5 days,lung,2,0.75
23,A/Chicken/Shandong/F122402/2021,5 days,lung,3,0.75
23,A/Chicken/Shandong/F122402/2021,5 days,nasal,1,1.75
23,A/Chicken/Shandong/F122402/2021,5 days,nasal,2,2.75
24,A/Chicken/Shandong/F122401/2021,3 days,lung,1,2.75
24,A/Chicken/Shandong/F122401/2021,3 days,lung,2,0.75
24,A/Chicken/Shandong/F122401/2021,3 days,lung,3,0.75
24,A/Chicken/Shandong/F122401/2021,3 days,nasal,1,2.5
24,A/Chicken/Shandong/F122401/2021,3 days,nasal,2,2.5
24,A/Chicken/Shandong/F122401/2021,5 days,lung,1,0.75
24,A/Chicken/Shandong/F122401/2021,5 days,lung,2,0.75
24,A/Chicken/Shandong/F122401/2021,5 days,lung,3,0.75
24,A/Chicken/Shandong/F122401/2021,5 days,nasal,1,1.75
24,A/Chicken/Shandong/F122401/2021,5 days,nasal,2,2.75
25,A/Chicken/Shandong/F0106_BZ/2022,3 days,lung,1,2.75
25,A/Chicken/Shandong/F0106_BZ/2022,3 days,lung,2,0.75
25,A/Chicken/Shandong/F0106_BZ/2022,3 days,lung,3,0.75
25,A/Chicken/Shandong/F0106_BZ/2022,3 days,nasal,1,2.5
25,A/Chicken/Shandong/F0106_BZ/2022,3 days,nasal,2,2.25
25,A/Chicken/Shandong/F0106_BZ/2022,3 days,nasal,3,2.5
25,A/Chicken/Shandong/F0106_BZ/2022,5 days,lung,1,0.75
25,A/Chicken/Shandong/F0106_BZ/2022,5 days,lung,2,0.75
25,A/Chicken/Shandong/F0106_BZ/2022,5 days,lung,3,0.75
25,A/Chicken/Shandong/F0106_BZ/2022,5 days,nasal,1,2.5
25,A/Chicken/Shandong/F0106_BZ/2022,5 days,nasal,2,2.5
25,A/Chicken/Shandong/F0106_BZ/2022,5 days,nasal,3,2.25
26,A/chicken/Shandong/0202-1/2015,3 days,lung,1,2.5
26,A/chicken/Shandong/0202-1/2015,3 days,lung,2,1.75
26,A/chicken/Shandong/0202-1/2015,3 days,lung,3,0.75
26,A/chicken/Shandong/0202-1/2015,3 days,nasal,1,3.5
26,A/chicken/Shandong/0202-1/2015,3 days,nasal,2,4.5
26,A/chicken/Shandong/0202-1/2015,5 days,lung,1,3.5
26,A/chicken/Shandong/0202-1/2015,5 days,lung,2,2.25
26,A/chicken/Shandong/0202-1/2015,5 days,lung,3,2.75
26,A/chicken/Shandong/0202-1/2015,5 days,nasal,1,4.25
26,A/chicken/Shandong/0202-1/2015,5 days,nasal,2,3.75
27,A/chicken/Ningxia/ZW01/2021,3 days,lung,1,2.25
27,A/chicken/Ningxia/ZW01/2021,3 days,lung,2,1.75
27,A/chicken/Ningxia/ZW01/2021,3 days,lung,3,1.75
27,A/chicken/Ningxia/ZW01/2021,3 days,nasal,1,2.5
27,A/chicken/Ningxia/ZW01/2021,3 days,nasal,2,2.25
27,A/chicken/Ningxia/ZW01/2021,3 days,nasal,3,3.25
27,A/chicken/Ningxia/ZW01/2021,5 days,lung,1,2.5
27,A/chicken/Ningxia/ZW01/2021,5 days,lung,2,2.25
27,A/chicken/Ningxia/ZW01/2021,5 days,lung,3,2.25
27,A/chicken/Ningxia/ZW01/2021,5 days,nasal,1,3.25
27,A/chicken/Ningxia/ZW01/2021,5 days,nasal,2,2.5
27,A/chicken/Ningxia/ZW01/2021,5 days,nasal,3,2.5
28,A/Chicken/NingXia/M2309-934/2023,3 days,lung,1,2.75
28,A/Chicken/NingXia/M2309-934/2023,3 days,lung,2,1.5
28,A/Chicken/NingXia/M2309-934/2023,3 days,lung,3,1.5
28,A/Chicken/NingXia/M2309-934/2023,3 days,nasal,1,3.5
28,A/Chicken/NingXia/M2309-934/2023,3 days,nasal,2,3.25
28,A/Chicken/NingXia/M2309-934/2023,3 days,nasal,3,2.75
28,A/Chicken/NingXia/M2309-934/2023,5 days,lung,1,0.75
28,A/Chicken/NingXia/M2309-934/2023,5 days,lung,2,1.25
28,A/Chicken/NingXia/M2309-934/2023,5 days,lung,3,0.75
28,A/Chicken/NingXia/M2309-934/2023,5 days,nasal,1,2.75
28,A/Chicken/NingXia/M2309-934/2023,5 days,nasal,2,2.75
28,A/Chicken/NingXia/M2309-934/2023,5 days,nasal,3,2.75
29,A/chicken/Ningxia/F0331/2021,3 days,lung,1,0.75
29,A/chicken/Ningxia/F0331/2021,3 days,lung,2,0.75
29,A/chicken/Ningxia/F0331/2021,3 days,lung,3,0.75
29,A/chicken/Ningxia/F0331/2021,3 days,nasal,1,4.25
29,A/chicken/Ningxia/F0331/2021,3 days,nasal,2,3.5
29,A/chicken/Ningxia/F0331/2021,5 days,lung,1,0.75
29,A/chicken/Ningxia/F0331/2021,5 days,lung,2,0.75
29,A/chicken/Ningxia/F0331/2021,5 days,lung,3,0.75
29,A/chicken/Ningxia/F0331/2021,5 days,nasal,1,2.25
29,A/chicken/Ningxia/F0331/2021,5 days,nasal,2,3.25
29,A/chicken/Ningxia/F0331/2021,5 days,nasal,3,3.75
